CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
1.85,15.4,19.7,35.1,11.0,77.0,4.0,711.1,0.0,9.0,2.7,0.324,29.7,144.0,0.0,6.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.85,8.4,26.2,34.7,18.0,97.0,26.0,710.3,0.0,9.0,2.9,0.439,29.84,117.0,0.0,6.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.76,6.7,26.4,33.1,16.260790820261263,101.0,9.0,709.8,0.0,9.0,3.2,0.328,29.68,129.0,0.0,9.4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1.79,8.1,31.7,39.9,17.238973811948384,77.0,9.0,710.0,0.0,12.0,5.5,0.187,28.43,129.0,0.0,12.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1.77,16.7,31.6,48.2,12.0,82.0,4.0,710.5,0.0,13.0,2.8,0.053,26.75,138.0,0.0,12.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.99,38.0,35.2,73.2,5.0,82.0,8.0,710.9,0.0,16.0,2.8,0.0,24.48,140.0,0.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.15,50.3,24.5,74.8,4.0,104.0,20.0,711.5,0.0,20.0,3.330981476843194,0.0,22.62,151.0,0.0,7.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2.56,51.98061285363109,19.2,99.9,5.0,146.0,36.0,712.1,0.0,24.0,3.2,0.0,21.63,159.0,0.0,6.3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.59,61.827741059870725,17.4,98.5,4.0,160.0,40.0,711.9,0.0,26.0,3.0,0.0,20.75,156.0,0.0,8.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.58,72.9,29.5,102.4,5.0,109.0,24.0,712.1,0.0,28.0,3.3,0.0,20.16,106.0,0.0,1.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.45,62.9,23.5,86.3,5.0,108.0,31.0,712.3,0.0,32.0,3.3,0.0,16.92,327.0,0.0,6.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.34,61.914954398733265,40.4,116.2,6.0,101.0,35.0,712.1,0.0,33.0,4.5,0.0,15.83,257.0,0.0,2.3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.41,64.62157150360358,30.8,105.2,6.0,121.0,41.0,712.0,0.0,33.0,3.9,0.0,15.5,311.0,0.0,4.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.24,72.2,27.5,99.7,6.0,123.0,38.0,711.8,0.0,33.0,3.5,0.0,14.96,296.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.3,69.88620717858089,23.4,101.7,10.14613046447943,128.0,49.0,711.8,0.0,36.0,3.7,0.0,14.63,287.0,0.0,6.7,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.19,72.1,24.4,96.5,5.414488849210118,165.0,49.0,712.0,0.0,37.0,3.6,0.0,14.23,289.0,0.0,6.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.13,74.56077897129306,24.8,101.1,4.939553168181036,132.0,46.0,712.1,0.0,41.0,3.7,0.0,13.31,288.0,0.0,6.2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.18,72.5,33.5,106.0,4.805844530066415,170.0,47.0,712.5,0.0,41.0,4.2,0.0,13.36,297.0,0.0,5.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
